ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
secretary,18,4.400,88.0
seminar,43,4.538,90.8
having,218,4.591,91.8
institution,79,4.605,92.1
team,157,4.517,90.3
sahil,12,4.617,92.3
halls,263,4.551,91.0
tanania,2,4.800,96.0
humour,2,4.800,96.0
general,132,4.594,91.9
jlr,14,4.686,93.7
affairs,2,4.800,96.0
drdo,24,4.450,89.0
head,35,4.639,92.8
coordinator,12,4.717,94.3
particular,85,4.547,90.9
tracks,6,4.733,94.7
enrolled,28,4.271,85.4
deep,65,4.655,93.1
preparation,76,4.569,91.4
sachs,260,4.567,91.3
bigger,20,4.377,87.5
midterms,4,4.550,91.0
assignments,143,4.541,90.8
develop,80,4.594,91.9
scope,98,4.578,91.6
parent,8,4.775,95.5
networking,4,4.650,93.0
solving,75,4.554,91.1
statistics,129,4.513,90.3
mckinsey,83,4.576,91.5
concept,77,4.452,89.0
divided,40,4.578,91.6
facility,607,4.588,91.8
heavy,27,4.506,90.1
ensuring,8,4.625,92.5
specific,95,4.495,89.9
include,256,4.545,90.9
institutes,176,4.592,91.8
reliance,110,4.573,91.5
sems,2,4.500,90.0
weightage,17,4.506,90.1
secure,67,4.632,92.6
goldman,260,4.561,91.2
beyond,39,4.390,87.8
sahu,22,4.591,91.8
mrutyunjaya,2,4.500,90.0
cables,13,4.492,89.8
improved,110,4.361,87.2
quizzes,131,4.550,91.0
understanding,108,4.506,90.1
academics,339,4.552,91.0
kho,10,4.620,92.4
education,289,4.569,91.4
start,184,4.510,90.2
athletic,16,4.625,92.5
multi,24,4.650,93.0
aerospace,239,4.530,90.6
designer,22,4.468,89.4
lab,350,4.580,91.6
published,34,4.546,90.9
bmw,4,4.600,92.0
staff,186,4.474,89.5
c,91,4.615,92.3
swimming,253,4.570,91.4
within,125,4.599,92.0
made,303,4.458,89.2
opportunity,180,4.629,92.6
chiranth,2,4.600,92.0
cleaning,39,4.604,92.1
v,116,4.532,90.6
curriculums,2,4.600,92.0
examinations,38,4.595,91.9
court,171,4.578,91.6
lead,15,4.577,91.5
airbus,57,4.547,90.9
connection,141,4.487,89.7
automobile,13,4.400,88.0
crowds,8,4.625,92.5
basketball,265,4.539,90.8
production,100,4.448,89.0
ground,239,4.552,91.0
moment,20,4.400,88.0
planned,58,4.579,91.6
professionals,38,4.576,91.5
hockey,167,4.538,90.8
succeed,8,4.562,91.2
often,66,4.514,90.3
treatment,40,4.534,90.7
name,129,4.504,90.1
respective,209,4.593,91.9
millions,15,4.747,94.9
especially,131,4.485,89.7
hal,14,4.543,90.9
badminton,282,4.564,91.3
chief,12,4.500,90.0
runs,34,4.663,93.3
thus,46,4.567,91.3
boeing,16,4.625,92.5
conditioned,411,4.563,91.3
various,520,4.586,91.7
stadiums,14,4.771,95.4
known,241,4.539,90.8
football,290,4.550,91.0
specialty,6,4.700,94.0
mistakes,4,4.500,90.0
digital,89,4.604,92.1
using,69,4.545,90.9
cleaned,62,4.506,90.1
method,76,4.562,91.2
safety,12,4.267,85.3
washrooms,61,4.373,87.5
nearly,158,4.578,91.6
countries,59,4.459,89.2
japan,32,4.581,91.6
projectors,163,4.530,90.6
boys,156,4.412,88.2
presentations,78,4.562,91.2
received,123,4.507,90.1
material,86,4.575,91.5
third,95,4.543,90.9
privacy,4,3.950,79.0
uae,12,4.367,87.3
basis,99,4.450,89.0
gadgets,12,4.333,86.7
prashant,6,4.267,85.3
