ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
at microsoft,12,4.300,86.0
and emerging,6,4.633,92.7
my m,10,4.820,96.4
excellent academic,9,4.733,94.7
gym and,58,4.581,91.6
lpa average,32,4.612,92.2
academic guidance,6,4.767,95.3
of excellent,12,4.467,89.3
hostels are,544,4.584,91.7
from teachers,12,4.700,94.0
f fazil,4,4.700,94.0
students got,830,4.549,91.0
ai ml,14,4.429,88.6
systems semester,4,4.700,94.0
internet clean,4,4.700,94.0
come for,86,4.533,90.7
practical as,6,4.667,93.3
facilities are,892,4.549,91.0
placements faculty,30,4.627,92.5
clean rooms,12,4.538,90.8
core and,94,4.664,93.3
approximately of,80,4.533,90.7
with x,12,4.783,95.7
google microsoft,319,4.567,91.3
candidates got,8,4.600,92.0
good with,208,4.602,92.0
recreational facilities,8,4.769,95.4
boasted world,4,4.700,94.0
people found,595,4.588,91.8
easily accessible,32,4.586,91.7
cse from,4,4.700,94.0
library hostels,16,4.787,95.7
found this,1034,4.547,90.9
x wi,12,4.633,92.7
pass rate,8,4.750,95.0
a world,48,4.725,94.5
r amp,50,4.567,91.3
based with,4,4.700,94.0
faculty teachers,629,4.542,90.8
science and,628,4.549,91.0
facilities with,32,4.550,91.0
exams are,744,4.523,90.5
in of,6,4.100,82.0
medical facilities,536,4.543,90.9
to a,114,4.643,92.9
practically based,4,4.700,94.0
campus boasted,4,4.700,94.0
placement support,40,4.585,91.7
the pass,313,4.473,89.5
placed for,25,4.590,91.8
is practically,6,4.758,95.2
semester exams,670,4.515,90.3
emerging topics,4,4.700,94.0
and recreational,13,4.631,92.6
more people,580,4.592,91.8
lpa top,272,4.535,90.7
i did,60,4.701,94.0
accessible the,6,4.667,93.3
depth knowledge,28,4.643,92.9
knowledge the,60,4.553,91.1
as theoretical,8,4.656,93.1
engineering batch,1541,4.556,91.1
companies that,141,4.592,91.8
in depth,44,4.598,92.0
moderately challenging,4,4.700,94.0
is of,103,4.698,94.0
ml and,14,4.514,90.3
microsoft qualcomm,17,4.682,93.6
requiring in,4,4.700,94.0
and samsung,18,4.511,90.2
are moderately,25,4.464,89.3
sports grounds,42,4.592,91.8
aug read,180,4.534,90.7
helpful f,2,4.800,96.0
for recruitment,71,4.487,89.7
teachers are,854,4.517,90.3
and campus,71,4.437,88.7
the lowest,955,4.534,90.7
and engineering,498,4.572,91.4
very good,1108,4.542,90.8
rooms and,112,4.624,92.5
at with,4,4.700,94.0
options medical,6,4.400,88.0
bombay placements,174,4.553,91.1
class facilities,62,4.652,93.0
classrooms and,292,4.534,90.7
nvidia approximately,4,4.700,94.0
at iit,523,4.501,90.0
samsung r,6,4.667,93.3
focus on,73,4.592,91.8
amp d,50,4.567,91.3
two canteen,4,4.700,94.0
in cse,38,4.616,92.3
is very,1072,4.540,90.8
guidance from,8,4.594,91.9
quality with,10,4.720,94.4
the course,1234,4.542,90.8
are hygienic,6,4.675,93.5
canteen options,4,4.700,94.0
theoretical stress,4,4.700,94.0
on core,8,4.575,91.5
fazil ashraf,4,4.700,94.0
mess food,460,4.558,91.2
grounds gym,6,4.600,92.0
lowest is,173,4.605,92.1
support is,8,4.750,95.0
overall placement,21,4.519,90.4
class labs,22,4.709,94.2
excellent quality,16,4.684,93.7
with a,510,4.576,91.5
top companies,235,4.577,91.5
fi world,4,4.700,94.0
ashraf m,4,4.700,94.0
average is,128,4.541,90.8
with two,19,4.495,89.9
class sports,36,4.618,92.4
topics like,8,4.575,91.5
facilities faculty,93,4.606,92.1
adobe and,13,4.569,91.4
for internships,110,4.510,90.2
access to,107,4.575,91.5
hygienic with,6,4.767,95.3
and nvidia,12,4.350,87.0
internships at,66,4.549,91.0
is hygienic,24,4.544,90.9
d overall,4,4.700,94.0
are google,81,4.594,91.9
x internet,6,4.733,94.7
package is,498,4.523,90.5
cse department,41,4.624,92.5
with excellent,54,4.585,91.7
and housekeeping,4,4.700,94.0
and access,7,4.686,93.7
internships from,118,4.537,90.7
good percentage,18,4.667,93.3
the faculty,685,4.568,91.4
teaching quality,541,4.562,91.2
this college,457,4.551,91.0
lowest package,301,4.481,89.6
time there,19,4.611,92.2
because it,149,4.549,91.0
crores per,133,4.630,92.6
ready semester,127,4.480,89.6
and infrastructure,242,4.448,89.0
facilities and,392,4.493,89.9
available for,295,4.491,89.8
the best,1384,4.577,91.5
materials science,112,4.625,92.5
my course,338,4.478,89.6
like wi,88,4.584,91.7
that i,94,4.516,90.3
the library,562,4.532,90.6
of food,348,4.546,90.9
exams in,86,4.405,88.1
there and,47,4.600,92.0
it makes,202,4.575,91.5
easy and,40,4.370,87.4
is relevant,324,4.559,91.2
there in,59,4.559,91.2
skills and,72,4.505,90.1
and knowledgeable,419,4.521,90.4
science batch,102,4.549,91.0
we feel,10,4.640,92.8
can get,225,4.520,90.4
difficult but,92,4.565,91.3
feel good,2,5.000,100.0
top mncs,32,4.520,90.4
my campus,14,4.657,93.1
makes students,210,4.543,90.9
for our,195,4.624,92.5
sai b,2,5.000,100.0
are there,137,4.602,92.0
hostel is,283,4.514,90.3
mess is,297,4.596,91.9
but if,112,4.509,90.2
infrastructure available,97,4.342,86.8
and top,50,4.575,91.5
students industry,328,4.547,90.9
department like,16,4.600,92.0
teachers reviewed,6,4.633,92.7
college the,228,4.505,90.1
i can,88,4.526,90.5
is delicious,12,4.650,93.0
easy so,6,4.800,96.0
from our,213,4.619,92.4
mncs around,2,5.000,100.0
quality is,496,4.560,91.2
of the,1738,4.552,91.0
is useful,50,4.634,92.7
for extra,18,4.778,95.6
per annum,505,4.575,91.5
infrastructure facilities,191,4.528,90.6
library are,83,4.577,91.5
