ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
for internships at,6,4.400,88.0
the course is,216,4.498,90.0
world class library,20,4.700,94.0
course is practically,4,4.700,94.0
average is lpa,33,4.497,89.9
d overall placement,4,4.700,94.0
are very good,430,4.529,90.6
get internships from,20,4.640,92.8
facilities and infrastructure,175,4.431,88.6
amazon apple flipkart,2,5.000,100.0
difficult but if,6,4.900,98.0
they are very,224,4.558,91.2
and infrastructure available,77,4.286,85.7
i can give,2,5.000,100.0
students industry ready,320,4.545,90.9
faculty there are,47,4.626,92.5
relevant and it,104,4.556,91.1
in metallurgical engineering,59,4.542,90.8
is delicious faculty,2,5.000,100.0
it is useful,12,4.667,93.3
extra skills and,2,5.000,100.0
college are difficult,4,4.550,91.0
give time for,2,5.000,100.0
placements every year,42,4.431,88.6
placements the best,10,4.725,94.5
easy and interesting,2,5.000,100.0
we can get,32,4.594,91.9
annum and the,121,4.564,91.3
is useful for,6,4.900,98.0
the faculty there,2,5.000,100.0
very good the,162,4.544,90.9
curriculum is relevant,293,4.550,91.0
lowest package is,130,4.476,89.5
this college are,28,4.557,91.1
metallurgical engineering and,59,4.542,90.8
that i can,12,4.633,92.7
quality of facilities,19,4.463,89.3
infrastructure available for,26,4.512,90.2
from teachers reviewed,3,4.800,96.0
money it is,264,4.555,91.1
are good placements,29,4.540,90.8
and it makes,106,4.542,90.8
the teaching quality,261,4.542,90.8
semester exams in,57,4.298,86.0
college the highest,76,4.528,90.6
percentage other i,7,4.800,96.0
quality of food,276,4.542,90.8
it makes students,110,4.520,90.4
good to spend,2,5.000,100.0
because of the,103,4.536,90.7
industry ready semester,116,4.501,90.0
are helpful qualified,23,4.633,92.7
top recruiting companies,503,4.540,90.8
more s sai,6,4.667,93.3
can give time,2,5.000,100.0
useful for placements,2,5.000,100.0
and knowledgeable on,2,5.000,100.0
is good the,115,4.604,92.1
is easy so,2,5.000,100.0
like wi fi,88,4.584,91.7
in this college,205,4.559,91.2
in our college,461,4.593,91.9
course is it,10,4.770,95.4
teaching quality is,351,4.592,91.8
work we can,2,5.000,100.0
of food in,77,4.534,90.7
our course are,48,4.516,90.3
reviewed on jul,216,4.550,91.0
available for our,14,4.357,87.1
quality is good,103,4.510,90.2
mess is delicious,4,4.750,95.0
our course infrastructure,38,4.568,91.4
and they are,187,4.551,91.0
s sai b,2,5.000,100.0
about my course,45,4.504,90.1
good placements are,8,4.625,92.5
labs classrooms and,41,4.620,92.4
this course because,346,4.577,91.5
engineering and materials,59,4.542,90.8
good percentage other,4,5.000,100.0
good the quality,34,4.571,91.4
students get internships,119,4.503,90.1
internships from our,44,4.559,91.2
companies for our,41,4.620,92.4
for money it,323,4.564,91.3
fi labs classrooms,40,4.662,93.2
flipkart and top,2,5.000,100.0
course department like,6,5.000,100.0
wi fi labs,93,4.633,92.7
top mncs around,2,5.000,100.0
get a good,63,4.578,91.6
and top mncs,6,4.767,95.3
infrastructure facilities and,79,4.416,88.3
teachers are helpful,117,4.539,90.8
makes students industry,161,4.559,91.2
from our course,114,4.561,91.2
sai b tech,2,5.000,100.0
the mess is,201,4.602,92.0
ready semester exams,114,4.490,89.8
time there and,2,5.000,100.0
every year placements,10,4.600,92.0
very clean we,2,5.000,100.0
so that i,6,4.600,92.0
if we do,4,4.600,92.0
science batch of,102,4.549,91.0
around of students,222,4.590,91.8
microsoft amazon apple,2,5.000,100.0
exams in this,22,4.282,85.6
materials science batch,57,4.579,91.6
and it is,253,4.566,91.3
the quality of,483,4.544,90.9
thing about my,29,4.555,91.1
tech in metallurgical,74,4.541,90.8
recruiting companies for,68,4.503,90.1
the course curriculum,823,4.573,91.5
because it is,71,4.597,91.9
it is easy,34,4.425,88.5
i chose this,333,4.481,89.6
of the faculty,93,4.560,91.2
are very clean,24,4.587,91.7
a good percentage,14,4.700,94.0
placements good placements,8,4.575,91.5
and materials science,59,4.542,90.8
for placements the,40,4.575,91.5
are there in,28,4.736,94.7
crores per annum,127,4.646,92.9
time for extra,4,4.700,94.0
is relevant and,158,4.591,91.8
jul read more,216,4.550,91.0
we feel good,2,5.000,100.0
best thing about,154,4.528,90.6
chose this course,303,4.482,89.6
it is good,58,4.417,88.3
campus the teaching,2,5.000,100.0
knowledgeable on my,2,5.000,100.0
good the course,91,4.559,91.2
good because of,3,5.000,100.0
skills and it,2,5.000,100.0
department like wi,2,5.000,100.0
of facilities in,12,4.617,92.3
for our course,67,4.638,92.8
the best thing,221,4.527,90.5
to spend time,4,4.800,96.0
but if we,16,4.700,94.0
library are very,10,4.620,92.4
apple flipkart and,2,5.000,100.0
our course department,10,4.820,96.4
we do hard,2,5.000,100.0
spend time there,2,5.000,100.0
easy so that,2,5.000,100.0
feel good to,2,5.000,100.0
course because it,59,4.593,91.9
other i chose,344,4.483,89.7
and the library,76,4.566,91.3
there are good,45,4.629,92.6
there in our,2,5.000,100.0
year placements good,2,5.000,100.0
for extra skills,2,5.000,100.0
delicious faculty teachers,2,5.000,100.0
mncs around of,2,5.000,100.0
is good because,4,4.200,84.0
the lowest package,292,4.482,89.6
food in the,136,4.513,90.3
in our hostel,53,4.652,93.0
are difficult but,20,4.610,92.2
hard work we,2,5.000,100.0
can get a,38,4.620,92.4
teachers reviewed on,6,4.633,92.7
clean we feel,2,5.000,100.0
on my campus,6,4.800,96.0
good placements every,6,4.633,92.7
per annum and,163,4.562,91.2
the library are,21,4.524,90.5
course are google,6,4.967,99.3
is it is,16,4.419,88.4
our college the,83,4.619,92.4
