ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
ready semester exams in,21,4.152,83.0
give time for extra,2,5.000,100.0
available for our course,10,4.600,92.0
best thing about my,29,4.555,91.1
in our college the,63,4.658,93.2
crores per annum and,49,4.629,92.6
quality of food in,77,4.534,90.7
annum and the lowest,65,4.572,91.4
and materials science batch,55,4.567,91.3
is useful for placements,2,5.000,100.0
from teachers reviewed on,3,4.800,96.0
there and they are,2,5.000,100.0
is relevant and it,64,4.600,92.0
flipkart and top mncs,2,5.000,100.0
very good the quality,2,5.000,100.0
is lpa top recruiting,69,4.614,92.3
highest package is crores,28,4.614,92.3
qualified and knowledgeable on,2,5.000,100.0
package is lpa top,28,4.521,90.4
about my course is,33,4.536,90.7
we can get a,10,4.600,92.0
the quality of food,222,4.527,90.5
exams in this college,16,4.612,92.2
metallurgical engineering and materials,59,4.542,90.8
it is easy so,2,5.000,100.0
teaching quality is good,72,4.582,91.6
clean we feel good,2,5.000,100.0
because of the faculty,8,4.650,93.0
internships from our course,28,4.543,90.9
for placements the best,2,5.000,100.0
if we do hard,2,5.000,100.0
so that i can,4,4.600,92.0
on jul read more,216,4.550,91.0
work we can get,2,5.000,100.0
the teaching quality is,194,4.573,91.5
apple flipkart and top,2,5.000,100.0
materials science batch of,57,4.579,91.6
in this college are,16,4.675,93.5
quality is good the,26,4.562,91.2
course are google microsoft,4,5.000,100.0
there in our college,2,5.000,100.0
my campus the teaching,2,5.000,100.0
good the course curriculum,78,4.579,91.6
spend time there and,2,5.000,100.0
infrastructure available for our,4,4.300,86.0
sai b tech in,2,5.000,100.0
extra skills and it,2,5.000,100.0
every year placements good,2,5.000,100.0
college are difficult but,4,4.550,91.0
the faculty there are,2,5.000,100.0
can get a good,10,4.560,91.2
students industry ready semester,89,4.502,90.0
tech in metallurgical engineering,59,4.542,90.8
quality of facilities in,10,4.620,92.4
delicious faculty teachers are,2,5.000,100.0
and it is useful,6,4.533,90.7
relevant and it makes,88,4.555,91.1
are very good the,49,4.547,90.9
our hostel is good,2,5.000,100.0
infrastructure facilities and infrastructure,61,4.395,87.9
it is easy and,4,4.750,95.0
good placements every year,6,4.633,92.7
course because it is,29,4.697,93.9
labs classrooms and the,10,4.660,93.2
students get internships from,16,4.612,92.2
google microsoft amazon apple,2,5.000,100.0
amazon apple flipkart and,2,5.000,100.0
useful for placements the,2,5.000,100.0
my course is it,4,4.625,92.5
teachers are helpful qualified,12,4.583,91.7
good because of the,2,5.000,100.0
very clean we feel,2,5.000,100.0
are difficult but if,2,5.000,100.0
in our hostel is,4,5.000,100.0
is it is easy,2,5.000,100.0
top mncs around of,2,5.000,100.0
and the library are,21,4.524,90.5
faculty teachers are helpful,39,4.556,91.1
this course because it,49,4.596,91.9
it is useful for,4,5.000,100.0
s sai b tech,2,5.000,100.0
course curriculum is relevant,259,4.560,91.2
year placements good placements,2,5.000,100.0
get internships from our,6,4.900,98.0
helpful qualified and knowledgeable,77,4.501,90.0
are helpful qualified and,23,4.633,92.7
is easy so that,2,5.000,100.0
reviewed on jul read,216,4.550,91.0
the course curriculum is,638,4.581,91.6
value for money it,323,4.564,91.3
the library are very,4,4.650,93.0
it is good because,2,5.000,100.0
good to spend time,2,5.000,100.0
facilities and infrastructure available,77,4.286,85.7
course department like wi,2,5.000,100.0
in metallurgical engineering and,59,4.542,90.8
and they are very,42,4.633,92.7
lpa top recruiting companies,185,4.574,91.5
hostel is good the,8,4.700,94.0
industry ready semester exams,105,4.515,90.3
in the mess is,139,4.604,92.1
that i can give,2,5.000,100.0
percentage other i chose,5,4.720,94.4
package is crores per,18,4.622,92.4
but if we do,2,5.000,100.0
i chose this course,296,4.481,89.6
semester exams in this,20,4.220,84.4
the lowest package is,125,4.479,89.6
library are very clean,4,4.600,92.0
a good percentage other,2,5.000,100.0
is crores per annum,40,4.670,93.4
are good placements every,2,5.000,100.0
from our course infrastructure,16,4.725,94.5
mess is delicious faculty,2,5.000,100.0
the quality of facilities,15,4.520,90.4
mncs around of students,2,5.000,100.0
for our course are,23,4.420,88.4
department like wi fi,2,5.000,100.0
of facilities in our,4,4.600,92.0
our course department like,4,5.000,100.0
curriculum is relevant and,145,4.584,91.7
are very clean we,2,5.000,100.0
makes students industry ready,157,4.566,91.3
b tech in metallurgical,63,4.590,91.8
i can give time,2,5.000,100.0
college the highest package,27,4.437,88.7
they are very good,18,4.456,89.1
because it is easy,4,4.600,92.0
placements are there in,2,5.000,100.0
faculty there are good,2,5.000,100.0
do hard work we,2,5.000,100.0
jul read more s,30,4.473,89.5
lowest package is lpa,67,4.443,88.9
the best thing about,150,4.527,90.5
good placements are there,2,5.000,100.0
is easy and interesting,2,5.000,100.0
knowledgeable on my campus,2,5.000,100.0
this college are difficult,4,4.550,91.0
it makes students industry,90,4.551,91.0
placements good placements are,4,4.750,95.0
easy so that i,2,5.000,100.0
and knowledgeable on my,2,5.000,100.0
is good because of,2,5.000,100.0
is good the course,34,4.554,91.1
recruiting companies for our,37,4.589,91.8
guidance from teachers reviewed,2,5.000,100.0
top recruiting companies for,56,4.525,90.5
is good the quality,12,4.667,93.3
for our course department,4,5.000,100.0
difficult but if we,4,4.900,98.0
course infrastructure facilities and,4,4.900,98.0
for extra skills and,2,5.000,100.0
science batch of placements,95,4.535,90.7
course is it is,4,4.625,92.5
teachers reviewed on jul,2,5.000,100.0
we do hard work,2,5.000,100.0
chose this course because,211,4.533,90.7
and it makes students,71,4.501,90.0
on my campus the,2,5.000,100.0
our course are google,6,4.967,99.3
hard work we can,2,5.000,100.0
our college the highest,50,4.579,91.6
we feel good to,2,5.000,100.0
skills and it is,2,5.000,100.0
around of students get,47,4.613,92.3
the mess is delicious,4,4.750,95.0
get a good percentage,2,5.000,100.0
more s sai b,2,5.000,100.0
placements the best thing,6,4.833,96.7
other i chose this,269,4.488,89.8
and the lowest package,129,4.513,90.3
of food in the,46,4.478,89.6
campus the teaching quality,2,5.000,100.0
good the quality of,34,4.571,91.4
can give time for,2,5.000,100.0
good percentage other i,4,5.000,100.0
time there and they,2,5.000,100.0
like wi fi labs,25,4.664,93.3
to spend time there,2,5.000,100.0
for money it is,264,4.555,91.1
are there in our,2,5.000,100.0
thing about my course,29,4.555,91.1
read more s sai,6,4.667,93.3
this helpful b bhogalapalli,2,4.700,94.0
the average score in,2,4.700,94.0
infrastructure is excellent we,2,4.700,94.0
very famous quant companies,2,4.700,94.0
coming to exams the,2,4.700,94.0
they teach coming to,2,4.700,94.0
jee advanced exam to,2,4.700,94.0
exam you have to,2,4.700,94.0
be taught by faculty,2,4.700,94.0
served there faculty faculty,2,4.700,94.0
i hope people who,2,4.700,94.0
companies visit iitb infrastructure,2,4.700,94.0
dream college iit bombay,2,4.700,94.0
is served there faculty,2,4.700,94.0
i feel very lucky,2,4.700,94.0
people who read this,2,4.700,94.0
exams are tough this,2,4.700,94.0
well versed in what,2,4.700,94.0
the food is adjustable,2,4.700,94.0
are tough this is,2,4.700,94.0
the average is somewhere,2,4.700,94.0
academic infrastructure is excellent,2,4.700,94.0
the academic infrastructure is,8,4.588,91.8
many resources canteens are,2,4.700,94.0
visit iitb infrastructure the,2,4.700,94.0
s and s rooms,2,4.700,94.0
